"EndDate","Symbol","EPInvest"
"2019-12-31","600183","1786.0000"
"2020-12-31","600183","1259.4000"
"2011-12-31","600184","719.7000"
"2012-12-31","600184","456.8000"
"2013-12-31","600184","200.0000"
"2018-12-31","600184","180.0000"
"2015-12-31","600188","14664.5800"
"2017-12-31","600188","19000.0000"
"2018-12-31","600188","145000.0000"
"2015-12-31","600196","3166.0000"
"2016-12-31","600196","3346.0000"
"2017-12-31","600196","7348.0000"
"2018-12-31","600196","15952.1000"
"2019-12-31","600196","12483.0000"
"2020-12-31","600196","1075.0000"
"2016-12-31","600200","1165.7800"
"2017-12-31","600200","4851.8600"
"2018-12-31","600200","6670.0100"
"2019-12-31","600200","2363.3300"
"2016-12-31","600210","2700.0000"
"2017-12-31","600210","2655.0000"
"2017-12-31","600221","6228.0000"
"2017-12-31","600227","852.1900"
"2018-12-31","600227","861.6743"
"2019-12-31","600227","775.1200"
"2016-12-31","600228","116.8200"
"2017-12-31","600228","8.0085"
"2018-12-31","600228","344.1500"
"2019-12-31","600228","480.0000"
"2016-12-31","600230","3820.0000"
"2017-12-31","600230","5138.7900"
"2018-12-31","600230","12253.5700"
"2019-12-31","600230","9719.2000"
"2012-12-31","600232","230.2000"
"2019-12-31","600232","265.8000"
"2020-12-31","600232","273.4000"
"2012-12-31","600235","1562.2000"
"2013-12-31","600235","1620.0000"
"2016-12-31","600235","2384.4600"
"2020-12-31","600235","1919.0000"
"2014-12-31","600251","1984.6000"
"2013-12-31","600256","90121.9000"
"2014-12-31","600256","156352.6300"
"2015-12-31","600256","107333.8000"
"2016-12-31","600256","10897.3800"
"2017-12-31","600256","15723.4000"
"2019-12-31","600256","5873.9800"
"2013-12-31","600259","3400.0000"
"2014-12-31","600259","1000.0000"
"2016-12-31","600259","1617.0000"
"2017-12-31","600259","1520.0000"
"2012-12-31","600267","8500.0000"
"2013-12-31","600267","19195.1600"
"2014-12-31","600267","19395.0000"
"2016-12-31","600267","7576.0000"
"2017-12-31","600267","8534.0000"
"2020-12-31","600267","8862.8500"
"2016-12-31","600273","7165.8200"
"2017-12-31","600273","10785.7400"
"2018-12-31","600273","13716.8200"
"2021-12-31","600276","13879.0000"
"2016-12-31","600277","15000.0000"
"2017-12-31","600277","50000.0000"
"2019-12-31","600277","17881.2700"
"2019-12-31","600281","131.0400"
"2020-12-31","600284","1100.0000"
"2016-12-31","600293","4300.0000"
"2017-12-31","600293","6145.0000"
"2020-12-31","600293","11700.0000"
"2016-12-31","600299","4000.0000"
"2016-12-31","600309","13300.0000"
"2017-12-31","600309","30600.0000"
"2018-12-31","600309","39700.0000"
"2019-12-31","600309","79000.0000"
"2016-12-31","600315","2437.6000"
"2017-12-31","600315","322.1000"
"2019-12-31","600315","594.7000"
"2016-12-31","600319","3496.7800"
"2017-12-31","600319","1544.0000"
"2019-12-31","600319","1540.0000"
"2016-12-31","600328","1355.7800"
"2017-12-31","600328","2577.6500"
"2019-12-31","600328","13215.1900"
"2015-12-31","600332","1781.8700"
"2020-12-31","600335","763.8600"
"2016-12-31","600346","12230.8500"
"2017-12-31","600346","6647.3200"
"2018-12-31","600346","29550.2500"
"2013-12-31","600351","1346.0000"
"2016-12-31","600352","43138.0800"
"2017-12-31","600352","58300.8100"
"2018-12-31","600352","82514.8700"
"2019-12-31","600352","1075680.1045"
"2017-12-31","600356","1556.3400"
"2019-12-31","600362","30000.0000"
"2020-12-31","600362","32900.0000"
"2021-12-31","600362","78600.0000"
"2016-12-31","600367","6027.0200"
"2017-12-31","600367","8985.2500"
"2019-12-31","600367","10303.4500"
"2020-12-31","600372","992.3500"
"2019-12-31","600377","746.6800"
"2016-12-31","600378","115.9100"
"2017-12-31","600378","116.9100"
"2018-12-31","600378","3626.9400"
"2014-12-31","600389","1100.0000"
"2016-12-31","600389","4742.6800"
"2017-12-31","600389","3797.1900"
"2018-12-31","600397","1234.8700"
"2019-12-31","600397","2515.5000"
"2020-12-31","600397","753.9000"
"2011-12-31","600399","4000.0000"
"2013-12-31","600399","3500.0000"
"2020-12-31","600406","223.9300"
"2016-12-31","600409","32241.6600"
"2017-12-31","600409","44539.9400"
